iter	Passed	Remaining
0	55	5541
1	57	2820
2	59	1907
3	60	1449
4	61	1175
5	63	992
6	64	861
7	66	761
8	67	684
9	69	621
10	70	568
11	71	525
12	73	488
13	74	459
14	76	431
15	77	406
16	78	385
17	80	365
18	81	348
19	82	331
20	84	317
21	85	304
22	87	291
23	88	280
24	89	269
25	91	259
26	93	251
27	94	242
28	95	234
29	97	227
30	98	219
31	100	212
32	101	206
33	104	202
34	105	196
35	107	190
36	108	185
37	110	179
38	111	174
39	112	169
40	114	164
41	115	159
42	116	155
43	118	150
44	119	146
45	121	142
46	122	138
47	123	134
48	125	130
49	132	132
50	133	128
51	135	124
52	136	121
53	138	117
54	139	114
55	141	111
56	142	107
57	144	104
58	145	101
59	147	98
60	150	95
61	151	92
62	152	89
63	154	86
64	155	83
65	157	81
66	159	78
67	160	75
68	161	72
69	163	70
70	165	67
71	167	65
72	169	62
73	171	60
74	172	57
75	174	55
76	175	52
77	177	49
78	178	47
79	179	44
80	181	42
81	182	40
82	185	37
83	186	35
84	188	33
85	189	30
86	190	28
87	192	26
88	194	24
89	196	21
90	197	19
91	199	17
92	201	15
93	202	12
94	204	10
95	205	8
96	207	6
97	208	4
98	210	2
99	212	0
