iter	Logloss
0	0.6901918609
1	0.6884862192
2	0.6858589838
3	0.6838144918
4	0.6805076986
5	0.6788326364
6	0.6751701556
7	0.6738046642
8	0.671082162
9	0.6689078
10	0.6663069967
11	0.663966676
12	0.6605420838
13	0.6600902008
14	0.6580970253
15	0.6557707564
16	0.6535802381
17	0.6514220325
18	0.6499665359
19	0.6481056446
20	0.6464021694
21	0.6442421687
22	0.6427286701
23	0.6417056813
24	0.6401034156
25	0.6383824842
26	0.6367401061
27	0.6344162513
28	0.6328825109
29	0.6315048868
30	0.6305912165
31	0.6286904604
32	0.6266540156
33	0.6235815826
34	0.6223557416
35	0.6208530759
36	0.6201041881
37	0.6173069085
38	0.615488977
39	0.6127755743
40	0.6113517096
41	0.6100980128
42	0.6090564534
43	0.608064725
44	0.6071873292
45	0.6049779308
46	0.6027600519
47	0.6016542384
48	0.6002531535
49	0.5990608014
50	0.5971846822
51	0.5952756313
52	0.5926591668
53	0.5908932328
54	0.5891028476
55	0.5871539319
56	0.5859792218
57	0.5847327675
58	0.583167581
59	0.5817257028
60	0.5784293092
61	0.5772034063
62	0.5762145872
63	0.5749667711
64	0.5738087126
65	0.5731828856
66	0.5716058758
67	0.5705204281
68	0.5694608553
69	0.5681338049
70	0.5673859076
71	0.5656626858
72	0.5639125367
73	0.5618870486
74	0.5611793874
75	0.5598197767
76	0.5589982162
77	0.5581099876
78	0.5567588574
79	0.5561442346
80	0.5552012229
81	0.5538603684
82	0.5520827349
83	0.5497078731
84	0.5491096543
85	0.5481292539
86	0.5474589814
87	0.5463425828
88	0.5455189796
89	0.5444199754
90	0.543638094
91	0.5427509795
92	0.5412341383
93	0.5391980649
94	0.5384647764
95	0.5377836092
96	0.5367447735
97	0.5353643019
98	0.533848513
99	0.5323486328
