iter	Passed	Remaining
0	48	4807
1	50	2463
2	51	1668
3	54	1309
4	55	1063
5	58	912
6	59	793
7	61	703
8	62	631
9	63	575
10	65	527
11	66	488
12	70	472
13	77	473
14	78	445
15	82	432
16	84	410
17	85	388
18	88	377
19	90	360
20	92	347
21	95	337
22	96	324
23	98	312
24	101	304
25	104	298
26	106	288
27	109	281
28	111	272
29	112	262
30	114	254
31	116	246
32	119	243
33	121	236
34	123	230
35	125	222
36	126	215
37	128	209
38	129	203
39	131	196
40	141	204
41	143	197
42	144	191
43	145	185
44	147	179
45	148	174
46	151	170
47	154	167
48	155	162
49	157	157
50	158	152
51	160	147
52	161	143
53	164	140
54	173	142
55	174	137
56	176	132
57	180	130
58	181	126
59	183	122
60	186	118
61	188	115
62	190	111
63	191	107
64	193	104
65	194	100
66	196	96
67	197	93
68	200	89
69	207	88
70	208	85
71	209	81
72	215	79
73	217	76
74	220	73
75	224	70
76	225	67
77	226	63
78	228	60
79	230	57
80	234	54
81	236	51
82	237	48
83	238	45
84	240	42
85	243	39
86	244	36
87	246	33
88	251	31
89	254	28
90	256	25
91	259	22
92	260	19
93	263	16
94	265	13
95	268	11
96	270	8
97	271	5
98	273	2
99	276	0
